112-0308 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
112-0314 3C279        band6          AA  GL  KT  --  AX  LM  NN  --  MG  SZ  
112-0321 3C273        band6          AA  GL  KT  --  AX  LM  NN  --  MG  --  
112-0324 NGC4261      band6          AA  GL  KT  MM  AX  LM  NN  --  MG  --  
112-0328 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
112-0330 NGC4261      band6          AA  GL  KT  MM  AX  LM  --  --  MG  --  
112-0334 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
112-0338 3C279        band6          AA  GL  KT  --  AX  LM  --  --  MG  SZ  
112-0349 3C273        band6          AA  GL  KT  MM  AX  LM  --  --  MG  --  
112-0352 NGC4261      band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0356 3C273        band6          AA  --  --  --  --  --  --  SW  --  --  
112-0358 NGC4261      band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0402 3C273        band6          AA  --  --  --  --  --  --  SW  --  --  
112-0408 3C279        band6          AA  GL  KT  MM  AX  LM  --  --  MG  SZ  
112-0415 3C273        band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0418 NGC4261      band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0422 3C273        band6          AA  --  --  --  --  --  --  SW  --  --  
112-0424 NGC4261      band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0428 3C273        band6          AA  --  --  --  --  --  --  SW  --  --  
112-0432 3C279        band6          AA  GL  KT  MM  AX  LM  --  --  MG  SZ  
112-0443 3C273        band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0446 NGC4261      band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0450 3C273        band6          AA  --  --  --  --  --  --  SW  --  --  
112-0452 NGC4261      band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0456 3C273        band6          AA  --  --  --  --  --  --  SW  --  --  
112-0502 3C279        band6          AA  GL  KT  MM  AX  LM  --  SW  MG  SZ  
112-0509 3C273        band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0512 NGC4261      band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0516 3C273        band6          AA  --  --  --  --  --  --  SW  --  --  
112-0518 NGC4261      band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0522 3C273        band6          AA  --  --  --  --  --  --  SW  --  --  
112-0526 3C279        band6          AA  GL  KT  MM  AX  LM  --  SW  MG  SZ  
112-0537 3C273        band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0540 NGC4261      band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0544 3C273        band6          AA  --  --  --  --  --  --  SW  --  --  
112-0546 NGC4261      band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0550 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
112-0556 3C279        band6          AA  --  KT  MM  AX  LM  --  SW  MG  SZ  
112-0603 3C273        band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0606 NGC4261      band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0609 3C273        band6          AA  --  --  --  --  --  --  SW  --  --  
112-0611 NGC4261      band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0615 3C273        band6          AA  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0628 3C273        band6          --  --  --  --  --  --  --  SW  --  --  
112-0630 NGC4261      band6          --  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0638 3C279        band6          --  --  KT  MM  AX  LM  --  SW  MG  SZ  
112-0648 3C273        band6          --  --  --  --  --  --  --  SW  --  --  
112-0650 NGC4261      band6          --  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0658 3C279        band6          --  --  KT  MM  AX  LM  --  SW  MG  SZ  
112-0713 3C273        band6          --  --  --  --  --  --  --  SW  --  --  
112-0715 NGC4261      band6          --  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0723 3C279        band6          --  --  KT  MM  AX  LM  --  SW  MG  SZ  
112-0733 3C273        band6          --  --  --  --  --  --  --  SW  --  --  
112-0735 NGC4261      band6          --  GL  KT  MM  AX  LM  --  SW  MG  --  
112-0743 3C279        band6          --  --  KT  MM  AX  LM  --  SW  MG  SZ  
